exp,class,precision,recall,f1,tp,fp,fn,support
FaceAPI_M1,angry,0.4010301692420898,0.1930570315267446,0.26064084170253465,545,814,2278,2823
FaceAPI_M1,disgusted,0.0,0.0,0.0,0,725,0,0
FaceAPI_M1,fearful,0.16445916114790288,0.06546572934973638,0.09365179132620993,149,757,2127,2276
FaceAPI_M1,happy,0.8005527406725012,0.5513959390862944,0.6530152169829042,1738,433,1414,3152
FaceAPI_M1,neutral,0.37080635668040024,0.5457695639618828,0.441588785046729,1890,3207,1573,3463
FaceAPI_M1,sad,0.5641547861507128,0.39203396684189246,0.4626028867947036,1939,1498,3007,4946
FaceAPI_M1,surprised,0.33615150490361856,0.6741268226517464,0.44860656662529613,1988,3926,961,2949
FaceAPI_M2,angry,0.4010301692420898,0.1930570315267446,0.26064084170253465,545,814,2278,2823
FaceAPI_M2,disgusted,0.04275862068965517,0.010512037978975925,0.016875340228633642,31,694,2918,2949
FaceAPI_M2,fearful,0.16445916114790288,0.06546572934973638,0.09365179132620993,149,757,2127,2276
FaceAPI_M2,happy,0.8005527406725012,0.5513959390862944,0.6530152169829042,1738,433,1414,3152
FaceAPI_M2,neutral,0.37080635668040024,0.5457695639618828,0.441588785046729,1890,3207,1573,3463
FaceAPI_M2,sad,0.5641547861507128,0.39203396684189246,0.4626028867947036,1939,1498,3007,4946
FaceAPI_M2,surprised,0.0,0.0,0.0,0,5914,0,0
Probe_M1_160,angry,0.4419983065198984,0.3797744634412514,0.4085306202308746,2088,2636,3410,5498
Probe_M1_160,disgusted,0.0,0.0,0.0,0,0,0,0
Probe_M1_160,fearful,0.26343612334801764,0.06392986957451358,0.10289057123193392,299,836,4378,4677
Probe_M1_160,happy,0.7280421290201241,0.6639794168096055,0.6945366466313806,3871,1446,1959,5830
Probe_M1_160,neutral,0.4547403132728772,0.3963782696177062,0.42355831989556936,2758,3307,4200,6958
Probe_M1_160,sad,0.47670561084667534,0.6567965023847376,0.552444630171333,6610,7256,3454,10064
Probe_M1_160,surprised,0.5076425997266062,0.6667210706708013,0.5764075067024129,4085,3962,2042,6127
Finetune_M1_160,angry,0.7306666666666667,0.6977082575481993,0.7138072199478973,3836,1414,1662,5498
Finetune_M1_160,disgusted,0.0,0.0,0.0,0,0,0,0
Finetune_M1_160,fearful,0.47461858529819695,0.3658327988026513,0.4131852209611205,1711,1894,2966,4677
Finetune_M1_160,happy,0.9330515638207946,0.9466552315608919,0.9398041719880801,5519,396,311,5830
Finetune_M1_160,neutral,0.7524486783845431,0.805978729519977,0.7782943584761641,5608,1845,1350,6958
Finetune_M1_160,sad,0.738048276509815,0.7808028616852146,0.7588238134324755,7858,2789,2206,10064
Finetune_M1_160,surprised,0.7654360280076384,0.7850497796637833,0.7751188461848361,4810,1474,1317,6127
Probe_M2_160,angry,0.4348475154617189,0.3708621316842488,0.40031412584666726,2039,2650,3459,5498
Probe_M2_160,disgusted,0.5084028382920454,0.6665578586583972,0.5768361581920903,4084,3949,2043,6127
Probe_M2_160,fearful,0.25462962962962965,0.05879837502672653,0.09553586937641133,275,805,4402,4677
Probe_M2_160,happy,0.7864630811303556,0.5919382504288164,0.6754746525738893,3451,937,2379,5830
Probe_M2_160,neutral,0.4487460815047022,0.41146881287726356,0.42929974508921875,2863,3517,4095,6958
Probe_M2_160,sad,0.4679786066922655,0.6781597774244833,0.5537974683544304,6825,7759,3239,10064
Probe_M2_160,surprised,0.0,0.0,0.0,0,0,0,0
Finetune_M2_160,angry,0.763443101292205,0.6662422699163332,0.7115384615384616,3663,1135,1835,5498
Finetune_M2_160,disgusted,0.7601265822784811,0.7840705075893586,0.7719129107415441,4804,1516,1323,6127
Finetune_M2_160,fearful,0.42502673796791446,0.4248449861022023,0.42493584260051326,1987,2688,2690,4677
Finetune_M2_160,happy,0.9419818586342632,0.944082332761578,0.9430309260687056,5504,339,326,5830
Finetune_M2_160,neutral,0.7244652575623339,0.8226501868352974,0.7704421562689279,5724,2177,1234,6958
Finetune_M2_160,sad,0.7693667463866071,0.7351947535771065,0.7518926883796554,7399,2218,2665,10064
Finetune_M2_160,surprised,0.0,0.0,0.0,0,0,0,0
Finetune_K7_160,angry,0.7096175269216487,0.6951618770461986,0.7023153252480706,3822,1564,1676,5498
Finetune_K7_160,disgusted,0.3239954725523486,0.3224443818642636,0.3232180663373324,1145,2389,2406,3551
Finetune_K7_160,fearful,0.42034285714285713,0.39320076972418216,0.40631904551480336,1839,2536,2838,4677
Finetune_K7_160,happy,0.9483000350508237,0.928130360205832,0.9381067961165049,5411,295,419,5830
Finetune_K7_160,neutral,0.7249579940545431,0.8061224489795918,0.7633889077917659,5609,2128,1349,6958
Finetune_K7_160,sad,0.6826734908926689,0.6962997082757562,0.689419276375798,4535,2108,1978,6513
Finetune_K7_160,surprised,0.7829551359778278,0.7377182960665905,0.7596638655462185,4520,1253,1607,6127
